가게,store
회화,conversation
횟수,number
횡단보도,crosswalk
효과,effect
효과적,effective
효도,filial piety
효도하다,be filial
효율적,efficient
효자,filial son
후,after
후기,review
후반,second half
후배,Junior
후보,candidate
후춧가루,black pepper
후회,regret
후회하다,regret
훈련,training
훌륭하다,excellent
훔치다,steal
훨씬,more
휴가,vacation
휴식,rest
휴일,day off
휴지,tissue
휴지통,trash can
흉내,mimicry
흐려지다,blur
흐르다,flow
흐름,flow
흐리다,cloudy
흑백,Gray-scale
흑인,black
흔들다,shake
흔들리다,Oscillate
흔적,trace
흔하다,common
흔히,Often
흘러가다,flow
흘러나오다,flow out
흘러내리다,flow down
흘리다,spill
흙,soil
흥미,interest
흥미롭다,Interesting
흥분,excitement
흥분하다,excited
흩어지다,scatter
희곡,drama
희다,white
희망,hope
희망하다,I hope
희생,sacrifice
희생하다,sacrifice
흰색,White
힘,strength
힘겹다,It's hard
힘껏,amain
힘들다,it's tough
힘들어하다,have a hard time
힘쓰다,exert effort
힘없이,helplessly
힘차다,powerful
시몽,👀
코코,🐶
